Act,Link
CareShield Life and Long-Term Care Act 2019,https://sso.agc.gov.sg/Act/CLLTCA2019?WholeDoc=1
Central Provident Fund Act 1953,https://sso.agc.gov.sg/Act/CPFA1953?WholeDoc=1
Customs Act 1960,https://sso.agc.gov.sg/Act/CA1960?WholeDoc=1
Economic Expansion Incentives (Relief from Income Tax) Act 1967,https://sso.agc.gov.sg/Act/EEIRITA1967?WholeDoc=1
Employment Act 1968,https://sso.agc.gov.sg/Act/EmA1968?WholeDoc=1
Employment Agencies Act 1958,https://sso.agc.gov.sg/Act/EAA1958?WholeDoc=1
Employment Claims Act 2016,https://sso.agc.gov.sg/Act/ECA2016?WholeDoc=1
Employment of Foreign Manpower Act 1990,https://sso.agc.gov.sg/Act/EFMA1990?WholeDoc=1
Foreign Employee Dormitories Act 2015,https://sso.agc.gov.sg/Act/FEDA2015?WholeDoc=1
Foreign Limitation Periods Act 2012,https://sso.agc.gov.sg/Act/FLPA2012?WholeDoc=1
Goods and Services Tax Act 1993,https://sso.agc.gov.sg/Act/GSTA1993?WholeDoc=1
Goods and Services Tax Voucher Fund Act 2012,https://sso.agc.gov.sg/Act/GSTVFA2012?WholeDoc=1
Holidays Act 1998,https://sso.agc.gov.sg/Act/HA1998?WholeDoc=1
Immigration Act 1959,https://sso.agc.gov.sg/Act/IA1959?WholeDoc=1
Income Tax Act 1947,https://sso.agc.gov.sg/Act/ITA1947?WholeDoc=1
Internal Security Act 1960,https://sso.agc.gov.sg/Act/ISA1960?WholeDoc=1
International Arbitration Act 1994,https://sso.agc.gov.sg/Act/IAA1994?WholeDoc=1
Legal Aid and Advice Act 1995,https://sso.agc.gov.sg/Act/LAAA1995?WholeDoc=1
Medishield Life Scheme Act 2015,https://sso.agc.gov.sg/Act/MLSA2015?WholeDoc=1
National Servicemen (Employment) Act 1970,https://sso.agc.gov.sg/Act/NSEA1970?WholeDoc=1
Notaries Public Act 1959,https://sso.agc.gov.sg/Act/NPA1959?WholeDoc=1
Passports Act 2007,https://sso.agc.gov.sg/Act/PA2007?WholeDoc=1
Payroll Tax Act 1965,https://sso.agc.gov.sg/Act/PTA1965?WholeDoc=1
Pension Fund Act 1995,https://sso.agc.gov.sg/Act/PFA1995?WholeDoc=1
Pensions Act 1956,https://sso.agc.gov.sg/Act/PA1956?WholeDoc=1
Public Service (Monthly Variable Component and Non-pensionable Annual Allowance) Act 1988,https://sso.agc.gov.sg/Act/PSMVCNAAA1988?WholeDoc=1
Retirement and Re-employment Act 1993,https://sso.agc.gov.sg/Act/RRA1993?WholeDoc=1
Skills Development Levy Act 1979,https://sso.agc.gov.sg/Act/SDLA1979?WholeDoc=1
Work Injury Compensation Act 2019,https://sso.agc.gov.sg/Act/WICA2019?WholeDoc=1
Workplace Safety and Health Act 2006,https://sso.agc.gov.sg/Act/WSHA2006?WholeDoc=1
